pa_dep_facility_id,pa_epa_key_col,linkage_efacts_id,linkage_site_id,linkage_client_id,linkage_facility_name,key_from_efacts,key_from_site_id,key_used_for_epa_match,epa_name_via_efacts,epa_has_geo_via_efacts,epa_name_via_site_id,epa_has_geo_via_site,epa_name_via_epa_key,epa_has_geo_via_epa_key
01-00001,PA575014,575014,,,Unlisted Facility 01-00001,PA575014,,PA575014,MCCLEARY OIL,TRUE,,,MCCLEARY OIL,TRUE
02-27006,PA576312,576312,561896,289870,STOP & SAVE CONVENIENCE,PA576312,PA561896,PA576312,,,STOP & SAVE CONVENIENCE,TRUE,,
02-83089,PA577943,577943,,,Unlisted Facility 02-83089,PA577943,,PA577943,NEFF I ELEM SCH,TRUE,,,NEFF I ELEM SCH,TRUE
06-10243,PA579733,579733,,,Unlisted Facility 06-10243,PA579733,,PA579733,,,,,,
07-15460,PA581270,581270,,,Unlisted Facility 07-15460,PA581270,,PA581270,JA & WA HESS READY MIX LT,TRUE,,,JA & WA HESS READY MIX LT,TRUE
09-35761,PA582669,582669,,,Unlisted Facility 09-35761,PA582669,,PA582669,,,,,,
10-90213,PA584191,584191,,,Unlisted Facility 10-90213,PA584191,,PA584191,LUKOIL 69241,TRUE,,,LUKOIL 69241,TRUE
15-01016,PA585716,585716,569075,163719,BURKHART,PA585716,PA569075,PA585716,,,BURKHART,TRUE,,
15-46302,PA587222,587222,570172,82013,HORTICULTURE BLDG,PA587222,PA570172,PA587222,LUKOIL 69266,TRUE,HORTICULTURE BLDG,TRUE,LUKOIL 69266,TRUE
20-90115,PA588703,588703,571393,383591,LAKESIDE STOP N GO,PA588703,PA571393,PA588703,TURKEY HILL 229,TRUE,LAKESIDE STOP N GO,TRUE,TURKEY HILL 229,TRUE
22-26757,PA590047,590047,,,Unlisted Facility 22-26757,PA590047,,PA590047,,,,,,
23-40826,PA591370,591370,,,Unlisted Facility 23-40826,PA591370,,PA591370,BELLE VERNON PLT,TRUE,,,BELLE VERNON PLT,TRUE
25-90829,PA592769,592769,,,Unlisted Facility 25-90829,PA592769,,PA592769,MOWERYS INC,TRUE,,,MOWERYS INC,TRUE
32-19941,PA594521,594521,,,Unlisted Facility 32-19941,PA594521,,PA594521,,,,,,
36-07863,PA596131,596131,,,Unlisted Facility 36-07863,PA596131,,PA596131,,,,,,
36-61474,PA597449,597449,,,Unlisted Facility 36-61474,PA597449,,PA597449,,,,,,
38-61022,PA598971,598971,579395,303747,FUNCKS MINI MKT,PA598971,PA579395,PA598971,,,FUNCKS MINI MKT,TRUE,,
39-51919,PA600215,600215,,,Unlisted Facility 39-51919,PA600215,,PA600215,,,,,,
40-52288,PA601486,601486,,,Unlisted Facility 40-52288,PA601486,,PA601486,,,,,,
43-90906,PA602933,602933,,,Unlisted Facility 43-90906,PA602933,,PA602933,,,,,,
46-20467,PA604279,604279,,,Unlisted Facility 46-20467,PA604279,,PA604279,WELLSPAN OFC CTR,TRUE,,,WELLSPAN OFC CTR,TRUE
46-43146,PA605570,605570,,,Unlisted Facility 46-43146,PA605570,,PA605570,,,,,,
48-31344,PA606803,606803,,,Unlisted Facility 48-31344,PA606803,,PA606803,,,,,,
51-09763,PA608110,608110,511031,283535,8965 RIDGE AVE SHELL,PA608110,PA511031,PA608110,,,8965 RIDGE AVE SHELL,TRUE,,
51-41831,PA609282,609282,,,Unlisted Facility 51-41831,PA609282,,PA609282,,,,,,
53-05529,PA610521,610521,1509,81074,HARRISON STA,PA610521,PA1509,PA610521,,,HARRISON STA,TRUE,,
57-14551,PA612076,612076,,,Unlisted Facility 57-14551,PA612076,,PA612076,,,,,,
63-81781,PA613736,613736,,,Unlisted Facility 63-81781,PA613736,,PA613736,,,,,,
67-02807,PA615542,615542,,,Unlisted Facility 67-02807,PA615542,,PA615542,,,,,,
67-98542,PA880258,880258,876825,132506,Wawa Food Market# 8192,PA880258,PA876825,PA880258,,,,,,
