state,Total_Tanks_Pre99,Pct_Ms_Wall,Pct_Ms_Subst,Pct_Ms_Cap,Pct_Ms_Date,Pct_Ms_Close
TX,157990,44,0,4.2,0,
CA,24808,0.1,0,0,0,
NM,147,100,0,1.4,0,100
AK,5559,100,0,0,0,100
CO,22243,0,0,1.9,0,100
FL,77010,100,0,0.2,0,100
GA,64843,0,0,2.2,0,100
HI,5139,100,0,0.7,0,100
IN,22061,100,0,99.7,0,100
IA,30734,100,0,0.1,0,100
MO,22889,0.2,0,1,0,100
NE,4433,100,0,0.8,0,100
NV,9293,0,0,84.8,0,100
NH,13822,100,0,0,0,100
NY,76735,100,0,0.3,0,100
RI,10027,82.7,0,0.8,0,100
UT,15906,0,0,1.4,0,100
WV,20513,0,0,0,0,100
WI,12616,21.5,0,0,0,100
WY,8310,100,0,0.7,0,100
WA,44751,100,0,58.9,0,95.2
SD,8296,0,0,1.7,0,81.2
PA,72350,100,0,0.2,0,68.8
VA,62483,0,0,0.9,0,25.2
CT,32143,85.5,0,0.8,0,24.6
MD,42015,0,0,1.3,0,14.5
KS,23006,0,0,0.9,0,14.2
TN,46178,0,0,1.1,0,9.9
OK,31283,0,0,1.2,0,9.2
AL,43784,85.4,0,0.6,0,9
DE,7287,100,0,0.3,0,8.5
ND,8932,0,0,0.3,0,8.2
MA,30670,46.9,0,1.1,0,5.2
IL,36675,100,0,0.1,0,4.7
KY,39015,0,0,0.6,0,4.6
NJ,102428,0.5,0,5.2,0,4.4
MT,13616,13,0,0.1,0,4.4
OH,45919,0,0,0.5,0,2.9
MN,31819,0,0,0.4,0,2.7
OR,23883,100,0,3.5,0,2.4
ID,13362,0,0,1.2,0,0.8
ME,15661,0.2,0,0.3,0,0.6
AR,22142,8,0,0.1,0,0.3
MI,77883,5.7,0,0.6,0,0.1
AZ,21749,38.5,0,0.6,0,0.1
NC,86528,8.5,0,0,0,0.1
LA,43319,36,0,0.7,0,0
