YEAR,mean_base,mean_min,mean_max,sched_spread,n_fac
2006,1172.76635514019,703.659813084112,1641.87289719626,938.21308411215,203
2007,1155.23995505057,693.143973030341,1617.3359370708,924.191964040454,1375
2008,1263.55592318935,758.133553913608,1768.97829246509,1010.84473855148,2534
2009,1394.16416898042,836.498501388254,1951.82983657259,1115.33133518434,2838
2010,1370.65844122466,822.395064734796,1918.92181771452,1096.52675297973,3285
2011,1468.79990486624,881.279942919742,2056.31986681273,1175.03992389299,3559
2012,1518.76439363618,911.258636181709,2126.27015109065,1215.01151490895,4011
2013,1625.83002641785,975.498015850711,2276.16203698499,1300.66402113428,4153
2014,1635.97572907362,981.58543744417,2290.36602070306,1308.78058325889,4117
2015,1732.25028778417,1039.3501726705,2425.15040289784,1385.80023022734,4166
2016,1784.5774736978,1070.74648421868,2498.40846317692,1427.66197895824,4308
2017,1836.55140202086,1101.93084121251,2571.1719628292,1469.24112161669,4633
2018,1937.85510063255,1162.71306037953,2712.99714088557,1550.28408050604,5096
2019,1972.76737940919,1183.66042764551,2761.87433117287,1578.21390352735,7564
2020,2224.00930850155,1334.40558510093,3113.61303190216,1779.20744680124,8046
2021,2216.05574264392,1329.63344558635,3102.47803970149,1772.84459411514,8028
2022,2407.5199135431,1444.51194812586,3370.52787896035,1926.01593083448,8159
2023,2462.58600459433,1477.5516027566,3447.62040643207,1970.06880367547,8278
2024,2434.13063887021,1460.47838332213,3407.78289441829,1947.30451109617,8017
2025,2254.15976042669,1352.49585625601,3155.82366459736,1803.32780834135,5707
2026,2169.54892405063,1301.72935443038,3037.36849367089,1735.63913924051,395
