panel_year,treatment_group,mean_closure_age,closure_rate,leak_rate,exit_rate,n,se_closure,se_exit
1987,Control,,0.0257722666460643,1.33271526248696,1.6533395140418,155322,0.000402059256490188,0.000323552190406746
1988,Control,,0.0654107399459395,3.29174342126086,4.89203714605845,157971,0.000622080002018558,0.000542706007559187
1989,Control,,0.0755117956716709,12.1206213036979,5.39026450900111,153870,0.00067356747699995,0.000575699663851791
1990,Control,10.7457987690551,0.0922713943847113,18.5041625939533,6.49971350567933,148345,0.000751406757191373,0.00064005474488635
1991,Control,10.3301288245986,0.0922693799139066,19.5595716674375,6.66548080685901,140545,0.000771968525675406,0.000665317870010723
1985,Control,,0.00622680968764758,0.344059906901437,0.379815152128449,148230,0.000204318823909333,0.000159768721698007
1986,Control,,0.0217064301784126,0.693245435044211,1.39630094699942,152904,0.000372665662755648,0.000300072845545289
1992,Control,11.4547450727271,0.102515485722919,22.3069950143526,7.62879589061792,132380,0.000833675484067635,0.000729600481295279
1993,Control,16.4119081943821,0.116059127672334,23.2750376841662,8.85213219443409,123394,0.00091180976176019,0.000808630617111697
1994,Control,14.3903134527669,0.104636029476424,22.4678590900297,7.87298404825973,113718,0.000907665495942727,0.000798635445555352
1995,Control,17.5614224803376,0.100436023242016,17.5539378643337,7.63935321649543,106187,0.000922412344608764,0.000815147315231589
1996,Control,15.3290398040213,0.0856711763818337,16.546798772821,6.26967761404215,99415,0.000887651747079229,0.000768841295787451
1997,Control,13.7075180332478,0.0971432196401007,18.5341819796579,7.07322746399949,94582,0.000962967060934846,0.000833633181186338
1998,Control,16.995472059845,0.164150269135416,24.6465503763429,11.9100797355549,89546,0.00123783229048933,0.00108242383670111
1985,Texas,,0.00978239169494909,0.024955080854462,0.596426432421641,40072,0.000491662785414639,0.000384643971886973
1986,Texas,,0.0205111945758744,0.853616896736745,1.32920345349007,41002,0.000699991384913311,0.000565571513464641
1987,Texas,,0.0640903854316147,1.81902702265699,4.19791014006508,49477,0.00110106185371601,0.000901576080736372
1988,Texas,,0.0413228281152809,3.62844702467344,3.02716151772756,48230,0.00090630125304201,0.000780160970697562
1989,Texas,,0.0786766573533147,9.63085259503852,6.23359580052494,47244,0.00123867010749121,0.00111229406424806
1990,Texas,15.5935174720439,0.116476382359525,17.0360420864115,9.35079471681218,44670,0.00151781919946798,0.0013775211819687
1991,Texas,15.6890689457423,0.11628534956795,20.3996465043205,9.30380989787903,40736,0.00158828830409835,0.00143924836568964
1992,Texas,15.4497352103231,0.113082099596232,24.5491251682369,9.31628532974428,37150,0.00164308198038632,0.0015080183717382
1993,Texas,16.0688289885502,0.0957591128937124,9.20136840863513,7.83590893004601,33908,0.00159801569393441,0.0014594004469362
1994,Texas,16.8012415740545,0.085970698293905,7.38885013001839,6.84657829644194,31534,0.00157857694155923,0.00142215412028268
1995,Texas,18.0696851063367,0.0714381810843536,5.81864657607965,5.47558186465761,29732,0.00149368336094697,0.00131939575505081
1996,Texas,19.1099825087924,0.0736908561607801,6.06783346778436,5.61888393953211,28511,0.00154731434428197,0.00136383351947666
1997,Texas,19.9244981702317,0.0707847878654649,3.92027551842896,5.41510954788598,27294,0.00155236745513842,0.00136987491315486
1998,Texas,20.9900940533502,0.159206452352739,6.99514544551049,13.1034746378197,26161,0.00226202732669081,0.00208625442762471
