Factor,Category,Mean_Predicted,Mean_Actual,N
Share Single-Walled,0-25%,0.0104511695299945,0.0103064657916275,197934
Share Single-Walled,26-50%,0.0130643123216241,0.017683465959328,11310
Share Single-Walled,51-75%,0.01543103142708,0.0156618390030313,11876
Share Single-Walled,76-100%,0.0149866190767083,0.0149400966712138,566663
Mean Tank Age,0-10 yrs,0.0146454699940122,0.0149505915100905,359250
Mean Tank Age,11-20 yrs,0.0137051710328163,0.0133383292128479,298913
Mean Tank Age,21-30 yrs,0.0118344524989883,0.0118345934269403,129620
Share Pre-1980,None,0.0144778111849002,0.0143855138681009,558548
Share Pre-1980,1-25%,0.0160654949606735,0.0191241685144124,7216
Share Pre-1980,26-50%,0.0140321856453383,0.015271098711501,27241
Share Pre-1980,51-100%,0.0118457359388416,0.0118237172575958,194778
