YEAR,Plot_Issuer,market_share
2007,ZURICH AMERICAN INS CO,0.239622641509434
2007,MID-CONTINENT INS CO,0.177748861418347
2007,TANK OWNERS MEMBERS INS CO,0.143981782693559
2007,AMERICAN INTL SPECIALTY LINES,0.137670787247885
2007,COLONY INS CO,0.125894599869876
2007,ILLINOIS UNION INS CO,0.0506180871828237
2007,GREAT AMERICAN ALLIANCE INS CO,0.0423552374756018
2007,ACE AMERICAN INS CO,0.0289525048796357
2007,COMMERCE & INDUSTRY INS CO,0.0188679245283019
2007,INDIAN HARBOR INS CO,0.0099544567338972
2007,Other Private Insurers,0.0243331164606376
2008,ZURICH AMERICAN INS CO,0.215857202158572
2008,TANK OWNERS MEMBERS INS CO,0.193192195931922
2008,MID-CONTINENT INS CO,0.191199667911997
2008,COLONY INS CO,0.1302200083022
2008,AMERICAN INTL SPECIALTY LINES,0.0996679119966791
2008,GREAT AMERICAN ALLIANCE INS CO,0.0582122595821226
2008,ILLINOIS UNION INS CO,0.0426456344264563
2008,ACE AMERICAN INS CO,0.0177667081776671
2008,COMMERCE & INDUSTRY INS CO,0.0161062681610627
2008,"",0.00669710806697108
2008,Other Private Insurers,0.0284350352843503
2009,MID-CONTINENT INS CO,0.204269568857262
2009,TANK OWNERS MEMBERS INS CO,0.203013813311009
2009,ZURICH AMERICAN INS CO,0.192200362773824
2009,COLONY INS CO,0.117566624808148
2009,AMERICAN INTL SPECIALTY LINES,0.0638202874284917
2009,GREAT AMERICAN ALLIANCE INS CO,0.0636947118738663
2009,ILLINOIS UNION INS CO,0.0442444537463374
2009,OLD REPUBLIC INS CO,0.0214734198409376
2009,ACE AMERICAN INS CO,0.0212641272498954
2009,COMMERCE & INDUSTRY INS CO,0.0137295939723734
2009,Other Private Insurers,0.054723036137854
2010,MID-CONTINENT INS CO,0.235919664788325
2010,TANK OWNERS MEMBERS INS CO,0.190521600924722
2010,ZURICH AMERICAN INS CO,0.124721861002745
2010,COLONY INS CO,0.112454847565381
2010,GREAT AMERICAN ALLIANCE INS CO,0.0830082358040746
2010,ILLINOIS UNION INS CO,0.0521311949140298
2010,CHARTIS SPECIALTY INS CO,0.0477676636324231
2010,ACE AMERICAN INS CO,0.0241728073977749
2010,OLD REPUBLIC INS CO,0.023667100130039
2010,AMERICAN INTL SPECIALTY LINES,0.0214564369310793
2010,Other Private Insurers,0.0841785869094062
2011,MID-CONTINENT INS CO,0.257592948158492
2011,TANK OWNERS MEMBERS INS CO,0.187074533077326
2011,COLONY INS CO,0.100846570082039
2011,GREAT AMERICAN ALLIANCE INS CO,0.0756676557863502
2011,CHARTIS SPECIALTY INS CO,0.0682928957933322
2011,ZURICH AMERICAN INS CO,0.068118345260953
2011,ILLINOIS UNION INS CO,0.0578198638505848
2011,ACE AMERICAN INS CO,0.0294117647058824
2011,AMERICAN SAFETY INDEM CO,0.0249607261302147
2011,OLD REPUBLIC INS CO,0.0237388724035608
2011,Other Private Insurers,0.106475824751266
2012,MID-CONTINENT INS CO,0.270214332876225
2012,TANK OWNERS MEMBERS INS CO,0.18184011376911
2012,COLONY INS CO,0.0920310833460308
2012,CHARTIS SPECIALTY INS CO,0.0799812077809945
2012,GREAT AMERICAN ALLIANCE INS CO,0.0702422672558281
2012,ZURICH AMERICAN INS CO,0.0526817004418711
2012,IRONSHORE SPECIALTY INS CO,0.0515389303672101
2012,ACE AMERICAN INS CO,0.03973030626238
2012,AMERICAN SAFETY INDEM CO,0.0329879628218802
2012,ILLINOIS UNION INS CO,0.0229696785006857
2012,Other Private Insurers,0.105782416577785
2013,MID-CONTINENT INS CO,0.261363069400788
2013,TANK OWNERS MEMBERS INS CO,0.177468442847877
2013,COLONY INS CO,0.100446539939131
2013,GREAT AMERICAN ALLIANCE INS CO,0.082273112807464
2013,ACE AMERICAN INS CO,0.0599960085815497
2013,IRONSHORE SPECIALTY INS CO,0.0534725340517887
2013,CHARTIS SPECIALTY INS CO,0.0509529511550167
2013,OTHER,0.0327795240233498
2013,AMERICAN SAFETY INDEM CO,0.030484458414409
2013,ILLINOIS UNION INS CO,0.0217033378236791
2013,Other Private Insurers,0.129060020954947
2014,MID-CONTINENT INS CO,0.270535003977725
2014,TANK OWNERS MEMBERS INS CO,0.167909705648369
2014,COLONY INS CO,0.0917859984089101
2014,GREAT AMERICAN ALLIANCE INS CO,0.0872861972951472
2014,ACE AMERICAN INS CO,0.0634322792362769
2014,IRONSHORE SPECIALTY INS CO,0.0582985282418457
2014,OLD REPUBLIC INS CO,0.0475213802704853
2014,OTHER,0.0401501591089897
2014,CRUM & FORSTER SPECIALTY INS,0.035787092283214
2014,AIG INS CO,0.031262430389817
2014,Other Private Insurers,0.10603122513922
2015,MID-CONTINENT INS CO,0.272162476384246
2015,TANK OWNERS MEMBERS INS CO,0.155827641331202
2015,COLONY INS CO,0.0854526958290946
2015,GREAT AMERICAN ALLIANCE INS CO,0.0793004892699705
2015,OLD REPUBLIC INS CO,0.0707382647870949
2015,IRONSHORE SPECIALTY INS CO,0.0682798042920118
2015,ACE AMERICAN INS CO,0.0593300392384828
2015,CRUM & FORSTER SPECIALTY INS,0.0478854817613719
2015,INDIAN HARBOR INS CO,0.0414910623455893
2015,AIG INS CO,0.0295378578694957
2015,Other Private Insurers,0.0899941868914402
2016,MID-CONTINENT INS CO,0.289788111384356
2016,TANK OWNERS MEMBERS INS CO,0.157649601311573
2016,IRONSHORE SPECIALTY INS CO,0.101547556946618
2016,COLONY INS CO,0.0764463323148769
2016,GREAT AMERICAN ALLIANCE INS CO,0.0740368134734332
2016,ACE AMERICAN INS CO,0.0641875947040266
2016,OLD REPUBLIC INS CO,0.0565988523735003
2016,CRUM & FORSTER SPECIALTY INS,0.0484636212335743
2016,ILLINOIS UNION INS CO,0.0219837543781206
2016,NAUTILUS INS CO,0.0184439973172368
2016,Other Private Insurers,0.0908537645626847
2017,MID-CONTINENT INS CO,0.318677189026682
2017,TANK OWNERS MEMBERS INS CO,0.1438431667293
2017,IRONSHORE SPECIALTY INS CO,0.106225729675561
2017,GREAT AMERICAN ALLIANCE INS CO,0.0688462983840661
2017,ACE AMERICAN INS CO,0.0628335212326193
2017,OLD REPUBLIC INS CO,0.0538519353626456
2017,COLONY INS CO,0.0478391582111988
2017,CRUM & FORSTER SPECIALTY INS,0.0449830890642616
2017,ILLINOIS UNION INS CO,0.0287485907553551
2017,NAUTILUS INS CO,0.0219466366027809
2017,Other Private Insurers,0.102204684955531
2018,MID-CONTINENT INS CO,0.319269340974212
2018,IRONSHORE SPECIALTY INS CO,0.143982808022923
2018,TANK OWNERS MEMBERS INS CO,0.134706303724928
2018,GREAT AMERICAN ALLIANCE INS CO,0.0659383954154728
2018,ACE AMERICAN INS CO,0.0555038204393505
2018,NAVIGATORS INS CO,0.0441260744985673
2018,CRUM & FORSTER SPECIALTY INS,0.0440425023877746
2018,OLD REPUBLIC INS CO,0.0332378223495702
2018,ILLINOIS UNION INS CO,0.0265759312320917
2018,OTHER,0.0245343839541547
2018,Other Private Insurers,0.108082617000955
2019,MID-CONTINENT INS CO,0.521374799456991
2019,IRONSHORE SPECIALTY INS CO,0.129445884240405
2019,ACE AMERICAN INS CO,0.0512773047019622
2019,CRUM & FORSTER SPECIALTY INS,0.0471677156608664
2019,INDIAN HARBOR INS CO,0.0404664938911514
2019,OTHER,0.038553622115266
2019,OLD REPUBLIC INS CO,0.0344316919659385
2019,ILLINOIS UNION INS CO,0.0224361347649019
2019,TUDOR INS CO,0.0204368752313958
2019,NAUTILUS INS CO,0.0141058867086264
2019,Other Private Insurers,0.0803035912624954
2020,MID-CONTINENT INS CO,0.533975891972848
2020,IRONSHORE SPECIALTY INS CO,0.141930574679325
2020,ACE AMERICAN INS CO,0.0455347005821678
2020,CRUM & FORSTER SPECIALTY INS,0.0437712877744764
2020,OTHER,0.0406913544459743
2020,INDIAN HARBOR INS CO,0.0394593811145735
2020,OLD REPUBLIC INS CO,0.034422784259729
2020,ILLINOIS UNION INS CO,0.0263787230958765
2020,GREAT AMERICAN ALLIANCE INS CO,0.0219943474164795
2020,NAUTILUS INS CO,0.0150735560547866
2020,Other Private Insurers,0.0567673986037636
