has_single_walled,age_bin,obs_per1k,n_fac_years,n_events,wall_label
1,0-2,5.32480034597688,480957,2561,Single-Walled
1,3-5,2.91415130412616,517818,1509,Single-Walled
1,6-8,4.59527962132594,521187,2395,Single-Walled
1,9-11,6.60647480951788,473929,3131,Single-Walled
1,12-14,8.42248801766112,394539,3323,Single-Walled
1,15-17,10.2593154125502,305381,3133,Single-Walled
1,18-20,11.9878672642492,220890,2648,Single-Walled
1,21-23,12.2691353336694,152741,1874,Single-Walled
1,24+,12.9203945859142,326925,4224,Single-Walled
0,3-5,3.06430634245277,90722,278,Double-Walled
0,6-8,3.31065594644741,82461,273,Double-Walled
0,0-2,9.37861423614762,95110,892,Double-Walled
0,9-11,3.5450828945979,66289,235,Double-Walled
0,12-14,3.55905933679034,52261,186,Double-Walled
0,15-17,4.38444389398068,40370,177,Double-Walled
0,18-20,5.00962112666711,30142,151,Double-Walled
0,21-23,4.72382021420888,21381,101,Double-Walled
0,24+,6.46283867760378,56322,364,Double-Walled
