ISSUER_SINGLE,total_facility_years,overall_market_share,overall_market_share_pct
MID-CONTINENT INS CO,53849,0.292619440942486,29.26%
TANK OWNERS MEMBERS INS CO,25513,0.138639525279311,13.86%
COLONY INS CO,13911,0.0755934008607573,7.56%
IRONSHORE SPECIALTY INS CO,13056,0.0709472677476851,7.09%
GREAT AMERICAN ALLIANCE INS CO,11726,0.063719949571795,6.37%
ZURICH AMERICAN INS CO,10309,0.056019866973873,5.60%
ACE AMERICAN INS CO,8276,0.0449723949050124,4.50%
OLD REPUBLIC INS CO,6725,0.0365441464156849,3.65%
ILLINOIS UNION INS CO,5569,0.0302623570838586,3.03%
CRUM & FORSTER SPECIALTY INS,4613,0.0250673825153241,2.51%
