model,variable,estimate,se,t_stat,p_value
1,(Intercept),12.214715010288,0.321143179647027,38.0351064086534,0.000690527071503768
1,avg_age,-0.015397931049125,0.00588738943102463,-2.61540895663924,0.120360885398736
2,(Intercept),11.4195819103306,0.389264058607763,29.3363377835953,0.00115993076105739
2,avg_age,-0.0275938342857595,0.00481451378783099,-5.73138545277506,0.0291193789020155
2,active_tanks,0.23401068388647,0.0223357921841706,10.4769368355922,0.00898763718469533
2,capacity,-8.2835100916293e-06,3.53259393626252e-06,-2.34488034602506,0.143683059246648
2,has_sw,0.83400587800925,0.39051759774052,2.13564224207741,0.166233292372322
2,has_dw,-0.197410196406256,0.315192378823242,-0.626316528157436,0.595061976860044
3,avg_age,-0.02638458965435,0.00336217546786588,-7.84747551295931,0.0158531674637009
3,active_tanks,0.252413578687418,0.0232886431260356,10.8384836901568,0.0084054366769482
3,capacity,-1.03509831621688e-05,3.0830096383041e-06,-3.35742809025491,0.0784195732417822
3,has_sw,0.197118199730939,0.0845858325428578,2.33039261783069,0.145103847620173
3,has_dw,-0.672933471511949,0.13510610971777,-4.98077750086709,0.0380250489104875
4,avg_age,0.0081414733367512,0.00847699857820742,0.960419334937865,0.438188439838789
4,active_tanks,0.111487744197088,0.0155005822550878,7.19248750546089,0.0187874097987889
4,capacity,3.32038890264571e-06,3.02902872973554e-06,1.09618930650936,0.387367653833926
4,has_sw,0.112821425949196,0.0204414711779338,5.51924198445096,0.0312949042861127
4,has_dw,-0.0721765551201817,0.16390934334108,-0.440344361394877,0.702707664309497
